id,CVEId,description,status,accessVector,accessComplexity,authentication,confidentialityImpact,integrityImpact,availabilityImpact,baseScore,severity,exploitabilityScore,impactScore,obtainAllPrivilege,obtainUserPrivilege,obtainOtherPrivilege,userInteractionRequired
1,CVE-2012-5785,,,,,,,,,,,,,,,,
2,CVE-2012-4418,,,,,,,,,,,,,,,,
3,CVE-2012-5351,,,,,,,,,,,,,,,,
4,CVE-2010-0219,,,,,,,,,,,,,,,,
5,CVE-2018-8034,,,,,,,,,,,,,,,,
6,CVE-2016-3092,,,,,,,,,,,,,,,,
7,CVE-2020-0645,,,,,,,,,,,,,,,,
8,CVE-2020-0774,,,,,,,,,,,,,,,,
9,CVE-2020-0907,,,,,,,,,,,,,,,,
10,CVE-2020-1435,,,,,,,,,,,,,,,,
11,CVE-2020-1436,,,,,,,,,,,,,,,,
12,CVE-2020-1437,,,,,,,,,,,,,,,,
13,CVE-2020-1584,,,,,,,,,,,,,,,,
14,CVE-2020-16900,,,,,,,,,,,,,,,,
15,CVE-2020-16902,,,,,,,,,,,,,,,,
16,CVE-2020-17029,,,,,,,,,,,,,,,,
17,CVE-2020-17036,,,,,,,,,,,,,,,,
18,CVE-2020-17038,,,,,,,,,,,,,,,,
19,CVE-2020-17042,,,,,,,,,,,,,,,,
20,CVE-2020-17045,,,,,,,,,,,,,,,,
21,CVE-2020-17047,,,,,,,,,,,,,,,,
22,CVE-2020-17051,,,,,,,,,,,,,,,,
23,CVE-2020-17088,,,,,,,,,,,,,,,,
24,CVE-2021-1656,,,,,,,,,,,,,,,,
