repo_consequence_id,repo_impact_id
1,1
1,2
1,6
2,1
2,4
3,2
3,3
4,3
4,4
4,6
5,5
5,6
6,1
7,1
7,2
7,6
11,1
8,2
8,3
9,3
9,4
9,6
10,5
10,6
12,1
12,2
12,6
13,3
13,4
13,6
14,1
15,1
15,2
15,6
17,1
16,3
16,4
16,6
18,2
18,3
19,1
22,1
22,2
22,6
20,2
20,3
21,3
21,4
21,6
23,1
23,4
24,3
24,4
24,6
25,1
25,2
25,6
26,1
26,4
27,2
27,3
28,3
28,4
28,6
29,5
29,6
30,1
31,2
31,3
32,3
32,4
32,6
33,1
34,1
35,1
36,1
37,1
38,1
38,4
39,1
39,2
39,6
41,2
41,3
42,3
42,4
42,6
43,5
43,6
44,1
44,4
45,1
45,2
45,6
47,2
47,3
48,3
48,4
48,6
49,5
49,6
50,1
50,2
50,6
51,1
51,4
52,2
52,3
53,3
53,4
53,6
54,5
54,6
55,1
